analysis,seed,sigma,method,status,accuracy,selection_rate_g0,selection_rate_g1,di,fpr_g0,fpr_g1,fpr_gap,fair
noise,5,0.4,cart,SAT,0.7688888888888888,0.2119815668202765,0.871244635193133,0.24330889196613018,0.1242603550295858,0.6923076923076923,0.5680473372781065,False
noise,5,0.4,cart_group_threshold,SAT,0.5488888888888889,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,5,0.4,cert_tree,SAT,0.6555555555555556,0.4423963133640553,0.592274678111588,0.7469445001001804,0.39644970414201186,0.3333333333333333,0.06311637080867855,False
noise,6,0.0,cart,SAT,0.7933333333333333,0.18222222222222223,0.9111111111111111,0.2,0.09497206703910614,0.7428571428571429,0.6478850758180368,False
noise,6,0.0,cart_group_threshold,SAT,0.44666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,True
noise,6,0.0,cert_tree,SAT,0.6155555555555555,0.39555555555555555,0.4222222222222222,0.9368421052631579,0.3128491620111732,0.3142857142857143,0.001436552274541092,True
noise,6,0.05,cart,SAT,0.8022222222222222,0.17777777777777778,0.9066666666666666,0.19607843137254904,0.08379888268156424,0.7285714285714285,0.6447725458898643,False
noise,6,0.05,cart_group_threshold,SAT,0.44666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,True
noise,6,0.05,cert_tree,SAT,0.62,0.39555555555555555,0.41333333333333333,0.956989247311828,0.3128491620111732,0.2857142857142857,0.02713487629688749,True
noise,6,0.1,cart,SAT,0.7911111111111111,0.19555555555555557,0.9022222222222223,0.21674876847290642,0.10614525139664804,0.7285714285714285,0.6224261771747805,False
noise,6,0.1,cart_group_threshold,SAT,0.44666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,True
noise,6,0.1,cert_tree,SAT,0.6222222222222222,0.38666666666666666,0.43555555555555553,0.8877551020408163,0.30726256983240224,0.3142857142857143,0.007023144453312036,True
noise,6,0.2,cart,SAT,0.7955555555555556,0.20444444444444446,0.9111111111111111,0.22439024390243903,0.10614525139664804,0.7428571428571429,0.6367118914604948,False
noise,6,0.2,cart_group_threshold,SAT,0.44666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,True
noise,6,0.2,cert_tree,SAT,0.6444444444444445,0.3466666666666667,0.4311111111111111,0.8041237113402062,0.2681564245810056,0.2714285714285714,0.0032721468475658266,True
noise,6,0.3,cart,SAT,0.8177777777777778,0.17777777777777778,0.8844444444444445,0.20100502512562815,0.07262569832402235,0.6714285714285714,0.598802873104549,False
noise,6,0.3,cart_group_threshold,SAT,0.44666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,True
noise,6,0.3,cert_tree,SAT,0.6244444444444445,0.37777777777777777,0.40444444444444444,0.9340659340659341,0.30726256983240224,0.24285714285714285,0.06440542697525939,False
noise,6,0.4,cart,SAT,0.7955555555555556,0.24,0.9022222222222223,0.2660098522167487,0.1340782122905028,0.7142857142857143,0.5802075019952115,False
noise,6,0.4,cart_group_threshold,SAT,0.44666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,True
noise,6,0.4,cert_tree,SAT,0.6644444444444444,0.3511111111111111,0.4666666666666667,0.7523809523809524,0.2569832402234637,0.3,0.043016759776536295,False
noise,7,0.0,cart,SAT,0.7955555555555556,0.12658227848101267,0.812206572769953,0.15584985732055318,0.06557377049180328,0.53125,0.4656762295081967,False
noise,7,0.0,cart_group_threshold,SAT,0.5488888888888889,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,7,0.0,cert_tree,SAT,0.6711111111111111,0.5358649789029536,0.6854460093896714,0.7817756199063638,0.4371584699453552,0.453125,0.015966530054644823,False
noise,7,0.05,cart,SAT,0.7977777777777778,0.12658227848101267,0.8169014084507042,0.15495416848537757,0.06557377049180328,0.53125,0.4656762295081967,False
noise,7,0.05,cart_group_threshold,SAT,0.5488888888888889,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,7,0.05,cert_tree,SAT,0.6777777777777778,0.5274261603375527,0.6807511737089202,0.7747708424268878,0.4262295081967213,0.4375,0.011270491803278715,False
